"53","A","46","R","5","BAK","MAR36","0.35000","MAR46","0.20000","BCO 36","0.10000","BCO 46","0.05750","OH","0.03750","RC25POL","0.17710","RESLIQ","0.05600","cal","0.00100","FLUO","0.01670","MAG","0.00420","","0.00000","","0.00000"
"54","AC","54","K","4","BAK","MAR60","0.25000","CN60","0.15000","MAR46","0.35000","GRAF","0.10000","RESPOL","0.10000","RESLIQ","0.04500","SIL","0.00500","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"55","AC","80","J","04","BAK","MAR80","0.45870","CN100","0.22940","GRAF","0.13760","RESPOL","0.11470","RESLIQ","0.05500","SIL","0.00460","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"56","UNID","UR","PAR","TE","GRUE","MAR20","0.27700","MAR24","0.45300","","0.00000","FLUO","0.01000","PIRIT","0.02000","CAL","0.00800","MAG","0.00500","OH","0.03100","SIL","0.00010","RESPOL","0.14000","RESLIQ","0.05600","","0.00000"
"59","49A","36","K","5","V","BCO36","0.40880","MAR36","0.40880","B64N","0.04542","B55N","0.07722","OH","0.00059","HAR","0.01362","AGUA","0.04555","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"58","OXAL","36","R","5","BAK","MAR36","0.52110","CZ46/60","0.12240","CZ36/24","0.12050","FLUO","0.00612","MAG","0.00428","OH","0.03500","SIL","0.00061","RESPOL","0.13480","RESLIQ","0.05520","","0.00000","","0.00000","","0.00000"
"60","49A","36","KL","6","BAK","BCO36","0.36540","MAR46","0.39290","BCO60","0.10630","RR100F","0.00673","OH","0.02018","RESPOL","0.07805","RESLIQ","0.03028","SIL","0.00006","","0.00000","","0.00000","","0.00000","","0.00000"
"61","99R","36","J","6","BAK","BCO36","0.43600","MAR46","0.43140","OH","0.02000","RR100F","0.00638","RESPOL","0.07945","RESLIQ","0.02609","SIL","0.00069","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"62","OA","36","J","6","BAK","MAR36","0.43630","MAR46","0.43110","RR100F","0.00670","OH","0.02233","RESPOL","0.07743","RESLIQ","0.02605","SIL","0.00007","","0.00000","","0.00000","","0.00000","","0.00000","","0.00000"
"63","C N","24","R","6","BAK","CN 20","0.15170","CN 24","0.29500","CN 36","0.28000","AR MED","0.06500","MAG","0.00580","FLUOR","0.02360","RESPO","0.13300","RESLIQ","0.04500","SIL","0.00086","","0.00000","","0.00000","","0.00000"
"64","C N","36","K","4","BAK","CN 36","0.31970","MARR 36","0.15990","AR 36/46","0.15990","100 F","0.15990","FLUOR","0.07990","MAG","0.00800","SIL","0.00080","RESPO","0.07990","RESLIQ","0.03200","","0.00000","","0.00000","","0.00000"
