"160","R R","175X6X19","10.00","36","0.430","C-25","0","0","10","5"
"161","R R","200X4X19","10.00","36","0.510","C-40","671","0","10","5"
"162","R R","200X5X19","10.00","36","0.570","C-40","245","0","10","5"
"163","R R","200X6X19","10.00","36","0.590","C-35","376","0","10","5"
"164","SEG","COPAL 200","10.00","38","0.400","C-6","1815","0","48","24"
"165","C R","175X75X73","10.00","26","2.800","C-35","50","0","4","2"
"166","C R","175X75X73","10.00","34","2.890","C-40","69","0","4","2"
"167","ANILLO","230X50X50","10.00","39","5.700","G-90","3","0","0","0"
"168","R R","175X13X32","10.00","40","0.900","C-40","5","0","0","0"
"169","CR","200X75X73","10.00","33","4.250","G-60","3","0","0","0"
"170","R R","150X25X19","10.00","41","1.150","C-30","4","0","0","0"
"171","R R","100X6X13","10.00","41","0.190","C-10","10","0","0","0"
"172","C R","100X38X19","10.00","11","0.550","C-10","2","0","0","0"
"173","C R","125X38X19","10.00","42","0.700","C-20","3","0","0","0"
"174","C R","125X50X19","10.00","42","0.900","C-20","6","0","0","0"
"175","R R","200X25X25","10.00","223","1.750","C-50","8","0","5","2"
"176","R R","150X25X19","10.00","223","1.000","C-30","8","0","5","2"
"177","R R","508X63X56","10.00","43","31.000","B-200","1","0","0","0"
"178","RR c/e","308X32X127","10.00","44","5.400","G-150","1","0","0","0"
"179","PLACA","207X128X8","10.00","45","0.478","E-80","56","0","0","0"
"180","PLACA","207X128X6","10.00","46","0.268","E-80","105","0","0","0"
"181","R R","250X19X32","10.00","27","2.700","G-110","4","0","0","0"
"182","SEG","BERCO","10.00","47","0.270","C-10","18620","0","30","10"
"183","SEG","KRAS","10.00","47","0.225","C-10","10089","0","30","10"
"185","R/ARRA","200X50X100","10.00","48","3.900","G-55","1","0","0","0"
"186","R/ARRA","200X50X70","10.00","48","3.900","G-55","1","0","0","0"
"187","R R","250X50X32","10.00","7","7.000","G-110","1","0","4","2"
"188","R R","400X50X38","10.00","141","16.800","G-240","9","0","0","0"
"189","R R","400X38X127","10.00","39","13.000","G-230","1","0","0","0"
"190"," C R","150X63X19","10.00","152","1.950","C-30","56","0","0","0"
"191","C R","100X50X19","10.00","49","0.750","C-10","163","0","5","2"
"192","R R","200X13X25","10.00","49","1.160","C-50","5","0","0","0"
"193","R  C/R","300X10x101","10.00","49","2.300","G-150","4","0","0","0"
"194","DCD","178X6.4X22","10.00","194","0.360","E-250","46200","0","100","50"
"195","DCR","355X4X31.8","10.00","217","0.850","B-220","6983","0","100","50"
"196","DCD","230X3.2X22","10.00","349","0.280","B-210","20630","0","100","50"
"198","R R","200X20X90","10.00","9","1.750","C-50","40","0","5","2"
"199","R R","175X25X25","10.00","9","1.550","C-40","20","0","0","0"
"200","C R","200X100X73","10.00","52","4.900","G-60","2","0","0","0"
